#n  real_time  ms_narma2  ms_narma10  ms_narma20  ms_narma30  narma2  narma10  narma20  narma30
5250  52.500000  0.190693177488  0.169895135092  0.195943804365  -0.000039496095  0.190648276858  0.179164921561  0.211914944531  0.001607922189
5251  52.510000  0.190678247532  0.169600871591  0.195929977397  -0.000036188331  0.190762745168  0.176042690635  0.211134899552  0.001805373237
5252  52.520000  0.190663063392  0.169313011650  0.195926791618  -0.000031985817  0.190844192461  0.172897593043  0.209837041608  0.001893122451
5253  52.530000  0.190650882931  0.169034874828  0.195939759642  -0.000023008995  0.190898243897  0.169895393509  0.208098675794  0.001832234183
5254  52.540000  0.190644144069  0.168769543641  0.195973576786  -0.000006103526  0.190931920309  0.167181828896  0.206035162590  0.001600426728
5255  52.550000  0.190644103123  0.168519999720  0.196031454132  0.000020654772  0.190952203136  0.164871092098  0.203791237838  0.001196336683
5256  52.560000  0.190650871991  0.168289050737  0.196114986618  0.000057911499  0.190964894508  0.163037422781  0.201529259171  0.000641750120
5257  52.570000  0.190663798653  0.168079075611  0.196224551489  0.000105414241  0.190973955277  0.161710657273  0.199415370512  -0.000018537792
5258  52.580000  0.190682016653  0.167891689371  0.196359996977  0.000162619344  0.190981387032  0.160876132506  0.197604833283  -0.000719341016
5259  52.590000  0.190704936629  0.167727464184  0.196521276555  0.000229243652  0.190987598788  0.160478848063  0.196227914192  -0.001380034937
5260  52.600000  0.190732486630  0.167585825270  0.196708743240  0.000305524972  0.190992092488  0.160431341796  0.195377719943  -0.001911455465
5261  52.610000  0.190765017171  0.167465175373  0.196922992091  0.000392094096  0.190994236560  0.160624386165  0.195101220139  -0.002224145883
5262  52.620000  0.190802929026  0.167363214386  0.197164346817  0.000489533835  0.190993887299  0.160939394509  0.195394411062  -0.002237194440
5263  52.630000  0.190846198904  0.167277346212  0.197432249154  0.000597838882  0.190991665314  0.161261339586  0.196202174267  -0.001886819169
5264  52.640000  0.190894023067  0.167205033213  0.197724860870  0.000716038088  0.190988787841  0.161491011252  0.197422919468  -0.001133851822
5265  52.650000  0.190944754733  0.167143982612  0.198039096029  0.000842173468  0.190986476524  0.161555548151  0.198917624431  0.000030647619
5266  52.660000  0.190996195053  0.167092120202  0.198371100372  0.000973673736  0.190985077580  0.161416345430  0.200522449426  0.001582257093
5267  52.670000  0.191046152660  0.167047397925  0.198716984999  0.001107985012  0.190983120471  0.161073652718  0.202063756654  0.003462930028
5268  52.680000  0.191093067707  0.167007557805  0.199073510142  0.001243207577  0.190976581192  0.160567429269  0.203374139633  0.005583732589
5269  52.690000  0.191136452046  0.166970004003  0.199438446090  0.001378481374  0.190958596397  0.159974315851  0.204307981150  0.007830429750
5270  52.700000  0.191176951925  0.166931902019  0.199810477486  0.001513959038  0.190919796823  0.159400910241  0.204755112976  0.010071500617
5271  52.710000  0.191215977297  0.166890538390  0.200188695127  0.001650361329  0.190849307462  0.158973877564  0.204651334345  0.012167930903
5272  52.720000  0.191255008302  0.166843867852  0.200571878375  0.001788270656  0.190736321546  0.158827755392  0.203984837519  0.013983956182
5273  52.730000  0.191294816415  0.166791090259  0.200957865998  0.001927427835  0.190572024348  0.159091581738  0.202797959060  0.015397830015
5274  52.740000  0.191334875672  0.166733070950  0.201343297085  0.002066307740  0.190351548135  0.159875634646  0.201184092151  0.016311675580
5275  52.750000  0.191373177056  0.166672457147  0.201723853546  0.002202144295  0.190075602102  0.161259588316  0.199280023954  0.016659549812
5276  52.760000  0.191406521320  0.166613435650  0.202094902032  0.002331391414  0.189751450477  0.163283248725  0.197254367544  0.016412999365
5277  52.770000  0.191431198304  0.166561191017  0.202452240901  0.002450428975  0.189393005326  0.165940747491  0.195293106864  0.015583604788
5278  52.780000  0.191443819561  0.166521219006  0.202792626683  0.002556238039  0.189019942349  0.169178689927  0.193583534951  0.014222273963
5279  52.790000  0.191442009129  0.166498691833  0.203113898148  0.002646810225  0.188655912641  0.172898333727  0.192298015740  0.012415334369
5280  52.800000  0.191424709095  0.166498040438  0.203414727582  0.002721186123  0.188326080307  0.176961482314  0.191579021415  0.010277759547
5281  52.810000  0.191392013176  0.166522822485  0.203694173991  0.002779166032  0.188054334991  0.181199462363  0.191526784915  0.007944121596
5282  52.820000  0.191344640954  0.166575821504  0.203951236950  0.002820845784  0.187860587009  0.185424345904  0.192190667415  0.005558063995
5283  52.830000  0.191283315942  0.166659227467  0.204184549744  0.002846174692  0.187758540049  0.189441475509  0.193564993639  0.003261217806
5284  52.840000  0.191208340800  0.166774726642  0.204392266922  0.002854706473  0.187754255693  0.193062338727  0.195589686124  0.001182526444
5285  52.850000  0.191119559001  0.166923389598  0.204572127596  0.002845626701  0.187845692280  0.196116887794  0.198155575513  -0.000571104359
5286  52.860000  0.191016703697  0.167105361380  0.204721625239  0.002818022568  0.188023243776  0.198464487224  0.201113824872  -0.001922049223
5287  52.870000  0.190899949597  0.167319471518  0.204838200257  0.002771262038  0.188271151678  0.200002779000  0.204288528883  -0.002826522568
5288  52.880000  0.190770389679  0.167562937421  0.204919393202  0.002705313232  0.188569540861  0.200673879342  0.207491273182  -0.003276136276
5289  52.890000  0.190630198512  0.167831306030  0.204962929162  0.002620870406  0.188896757344  0.200467469209  0.210536292478  -0.003296419095
5290  52.900000  0.190482391339  0.168118683387  0.204966721053  0.002519234470  0.189231670210  0.199420524187  0.213254859673  -0.002942540358
5291  52.910000  0.190330265494  0.168418189037  0.204928787192  0.002401988356  0.189555638723  0.197613655820  0.215507666274  -0.002292729566
5292  52.920000  0.190176739630  0.168722490929  0.204847103300  0.002270584594  0.189853927384  0.195164302682  0.217194196095  -0.001440079257
5293  52.930000  0.190023842337  0.169024253933  0.204719452848  0.002126002589  0.190116458314  0.192217296721  0.218258417521  -0.000483544055
5294  52.940000  0.189872540881  0.169316374731  0.204543362307  0.001968614251  0.190337901708  0.188933604319  0.218690486428  0.000481005922
5295  52.950000  0.189722969853  0.169591961331  0.204316173504  0.001798314293  0.190517202080  0.185478257299  0.218524523604  0.001368856105
5296  52.960000  0.189574968797  0.169844114576  0.204035231792  0.001614859755  0.190656705886  0.182008601722  0.217832872496  0.002112935366
5297  52.970000  0.189428726261  0.170065642828  0.203698115974  0.001418281129  0.190761086977  0.178663968499  0.216717527649  0.002668190612
5298  52.980000  0.189285297424  0.170248862021  0.203302839721  0.001209213816  0.190836259812  0.175557699739  0.215299632104  0.003013541182
5299  52.990000  0.189146818254  0.170385598446  0.202847989933  0.000989043905  0.190888433143  0.172772167317  0.213708062490  0.003151352738
5300  53.000000  0.189016351536  0.170467440079  0.202332788275  0.000759828850  0.190923400759  0.170357041306  0.212068150316  0.003104616209
5301  53.010000  0.188897425826  0.170486200445  0.201757061143  0.000524016374  0.190946104565  0.168330668562  0.210491529581  0.002912238346
5302  53.020000  0.188793428286  0.170434490844  0.201121116978  0.000284042324  0.190960451513  0.166684070544  0.209067961768  0.002623025102
5303  53.030000  0.188707056275  0.170306262228  0.200425578500  0.000041934764  0.190969328682  0.165386815802  0.207859781014  0.002289050450
5304  53.040000  0.188640004197  0.170097190471  0.199671265903  -0.000200938166  0.190974743961  0.164393894694  0.206899340356  0.001959141006
5305  53.050000  0.188592969350  0.169804836712  0.198859220041  -0.000443888698  0.190978021912  0.163652723491  0.206189544690  0.001673168221
5306  53.060000  0.188565938333  0.169428596283  0.197990882797  -0.000686706974  0.190980000090  0.163109512719  0.205707252053  0.001457730306
