#n  real_time  ms_narma2  ms_narma10  ms_narma20  narma2  narma10  narma20
6000  15.000000  0.190179908733  0.174300374199  0.203798290342  0.190944578694  0.166374748436  0.203625320286
6001  15.002500  0.190276959978  0.174429964704  0.203647667542  0.190959402207  0.165175906247  0.203033136691
6002  15.005000  0.190352737032  0.174578047803  0.203427020460  0.190968704658  0.164163806274  0.202368264834
6003  15.007500  0.190404044164  0.174736175153  0.203143125400  0.190974378975  0.163372468916  0.201724461314
6004  15.010000  0.190428271943  0.174894280939  0.202804626897  0.190977803377  0.162809862636  0.201197413178
6005  15.012500  0.190423458638  0.175041257160  0.202421655878  0.190979868311  0.162458832059  0.200874368925
6006  15.015000  0.190388323832  0.175165721149  0.202005442232  0.190981113464  0.162280994029  0.200824260127
6007  15.017500  0.190322296110  0.175256681596  0.201567895710  0.190981850645  0.162223212258  0.201089387165
6008  15.020000  0.190225520490  0.175304130603  0.201121184975  0.190982141421  0.162225981153  0.201679610739
6009  15.022500  0.190098852430  0.175299653380  0.200677322224  0.190981532041  0.162232845468  0.202569755549
6010  15.025000  0.189943836871  0.175236786602  0.200247796252  0.190978517179  0.162199868581  0.203700618810
6011  15.027500  0.189762675588  0.175111333912  0.199843248352  0.190969794358  0.162104140998  0.204983617115
6012  15.030000  0.189558181217  0.174921460191  0.199473189190  0.190949461530  0.161950388167  0.206308737642
6013  15.032500  0.189333723809  0.174667628784  0.199145810679  0.190908378257  0.161774885934  0.207555120097
6014  15.035000  0.189093158012  0.174352483422  0.198867812753  0.190833936318  0.161646115315  0.208603316136
6015  15.037500  0.188840755530  0.173980512250  0.198644353077  0.190710456055  0.161661875317  0.209348078883
6016  15.040000  0.188581114798  0.173557607002  0.198479000479  0.190520339433  0.161942907476  0.209710444080
6017  15.042500  0.188319074868  0.173090701091  0.198373766616  0.190245980572  0.162623442707  0.209647885782
6018  15.045000  0.188059617431  0.172587193168  0.198329206556  0.189872281118  0.163839423736  0.209161464449
6019  15.047500  0.187807767436  0.172054532932  0.198344495147  0.189389469836  0.165715440355  0.208299126409
6020  15.050000  0.187568488607  0.171499775427  0.198417576030  0.188795813544  0.168351595891  0.207154644970
6021  15.052500  0.187346578570  0.170929281986  0.198545301333  0.188099756289  0.171811567805  0.205862089971
6022  15.055000  0.187146564700  0.170348491985  0.198723563924  0.187321052407  0.176113020745  0.204586140792
6023  15.057500  0.186972604606  0.169761748379  0.198947465047  0.186490570153  0.181221290542  0.203508977362
6024  15.060000  0.186828384359  0.169172423751  0.199211418629  0.185648623544  0.187046921805  0.202814850130
6025  15.062500  0.186717035362  0.168582996722  0.199509294704  0.184841913444  0.193447265313  0.202673700493
6026  15.065000  0.186641051066  0.167995301518  0.199834506959  0.184119386424  0.200231981810  0.203225341795
6027  15.067500  0.186602224419  0.167410863516  0.200180152431  0.183527509187  0.207172001898  0.204565695898
6028  15.070000  0.186601595951  0.166831232915  0.200539046898  0.183105570307  0.214011281819  0.206736407496
6029  15.072500  0.186639419745  0.166258440404  0.200903866440  0.182881636253  0.220480572614  0.209718844802
6030  15.075000  0.186715150705  0.165695310707  0.201267216355  0.182869701329  0.226312366958  0.213433076513
