#n  ms_narma2 ms_narma10  ms_narma20  narma2  narma10  narma20
10000  nan  nan  nan  0.185683  0.242399  inf
10001  nan  nan  nan  0.185791  0.241291  inf
10002  nan  nan  nan  0.185898  0.240181  inf
10003  nan  nan  nan  0.186004  0.239069  inf
10004  nan  nan  nan  0.186110  0.237955  inf
10005  nan  nan  nan  0.186216  0.236840  inf
10006  nan  nan  nan  0.186320  0.235724  inf
10007  nan  nan  nan  0.186424  0.234608  inf
10008  nan  nan  nan  0.186528  0.233492  inf
10009  nan  nan  nan  0.186630  0.232377  inf
10010  nan  nan  nan  0.186732  0.231263  inf
10011  nan  nan  nan  0.186832  0.230151  inf
10012  nan  nan  nan  0.186932  0.229040  inf
10013  nan  nan  nan  0.187031  0.227932  inf
10014  nan  nan  nan  0.187129  0.226827  inf
10015  nan  nan  nan  0.187226  0.225724  inf
10016  nan  nan  nan  0.187321  0.224626  inf
10017  nan  nan  nan  0.187416  0.223531  inf
10018  nan  nan  nan  0.187509  0.222440  inf
10019  nan  nan  nan  0.187602  0.221355  inf
10020  nan  nan  nan  0.187693  0.220274  inf
10021  nan  nan  nan  0.187783  0.219199  inf
10022  nan  nan  nan  0.187871  0.218129  inf
10023  nan  nan  nan  0.187959  0.217066  inf
10024  nan  nan  nan  0.188045  0.216008  inf
10025  nan  nan  nan  0.188129  0.214958  inf
10026  nan  nan  nan  0.188213  0.213915  inf
10027  nan  nan  nan  0.188295  0.212878  inf
10028  nan  nan  nan  0.188376  0.211850  inf
10029  nan  nan  nan  0.188455  0.210829  inf
10030  nan  nan  nan  0.188533  0.209817  inf
10031  nan  nan  nan  0.188609  0.208812  inf
10032  nan  nan  nan  0.188684  0.207817  inf
10033  nan  nan  nan  0.188758  0.206830  inf
10034  nan  nan  nan  0.188830  0.205853  inf
10035  nan  nan  nan  0.188901  0.204885  inf
10036  nan  nan  nan  0.188970  0.203926  inf
10037  nan  nan  nan  0.189038  0.202977  inf
10038  nan  nan  nan  0.189105  0.202038  inf
10039  nan  nan  nan  0.189170  0.201110  inf
