#n  real_time  ms_narma2  ms_narma10  ms_narma20  narma2  narma10  narma20
10000  25.000000  nan  nan  nan  0.208478451091  0.202943968124  inf
10001  25.002500  nan  nan  nan  0.204547423668  0.253050360015  inf
10002  25.005000  nan  nan  nan  0.243248890348  0.162605238619  inf
10003  25.007500  nan  nan  nan  0.198128729220  0.340600434479  inf
10004  25.010000  nan  nan  nan  0.197553110015  0.172044999080  inf
10005  25.012500  nan  nan  nan  0.202238160937  0.090783402782  inf
10006  25.015000  nan  nan  nan  0.196886764294  0.134246280206  inf
10007  25.017500  nan  nan  nan  0.190312785440  0.211728351992  inf
10008  25.020000  nan  nan  nan  0.216418751665  0.242642426084  inf
10009  25.022500  nan  nan  nan  0.220549545899  0.344590147362  inf
10010  25.025000  nan  nan  nan  0.213686969200  0.309601826026  inf
10011  25.027500  nan  nan  nan  0.201012674620  0.116604173800  inf
10012  25.030000  nan  nan  nan  0.203991577109  0.042747491271  inf
10013  25.032500  nan  nan  nan  0.174625437835  0.176917014444  inf
10014  25.035000  nan  nan  nan  0.136971445869  0.019882613320  inf
10015  25.037500  nan  nan  nan  0.171363841957  0.116449148244  inf
10016  25.040000  nan  nan  nan  0.192817783815  0.060130292105  inf
10017  25.042500  nan  nan  nan  0.161631628964  -0.066588625964  inf
10018  25.045000  nan  nan  nan  0.178706552531  0.139358892974  inf
10019  25.047500  nan  nan  nan  0.164571822638  0.047247624924  inf
10020  25.050000  nan  nan  nan  0.178610896582  0.084823206787  inf
10021  25.052500  nan  nan  nan  0.161384718599  0.019154948414  inf
10022  25.055000  nan  nan  nan  0.175433745113  0.158587772348  inf
10023  25.057500  nan  nan  nan  0.165830942725  0.344152662133  inf
10024  25.060000  nan  nan  nan  0.170020062774  0.138601542625  inf
10025  25.062500  nan  nan  nan  0.179447931094  0.177079785888  inf
10026  25.065000  nan  nan  nan  0.237334747300  -0.080182805987  inf
10027  25.067500  nan  nan  nan  0.182271914266  -0.004089346135  inf
10028  25.070000  nan  nan  nan  0.191187143364  0.043307762358  inf
10029  25.072500  nan  nan  nan  0.168835329277  0.055946658523  inf
10030  25.075000  nan  nan  nan  0.192470397018  -0.015577591232  inf
10031  25.077500  nan  nan  nan  0.198072204317  0.058010881639  inf
10032  25.080000  nan  nan  nan  0.145095359841  0.313518361005  inf
10033  25.082500  nan  nan  nan  0.174419204651  0.138808497407  inf
10034  25.085000  nan  nan  nan  0.184611275810  0.166656600203  inf
10035  25.087500  nan  nan  nan  0.179314289687  0.002352615619  inf
10036  25.090000  nan  nan  nan  0.185331342043  0.054152142066  inf
10037  25.092500  nan  nan  nan  0.188318014052  0.138574838455  inf
10038  25.095000  nan  nan  nan  0.126660574503  0.381318422636  inf
10039  25.097500  nan  nan  nan  0.133546475835  0.094753105748  inf
10040  25.100000  nan  nan  nan  0.166778703157  0.214101595499  inf
10041  25.102500  nan  nan  nan  0.163289457033  0.359678441724  inf
10042  25.105000  nan  nan  nan  0.192188731813  0.331541832969  inf
10043  25.107500  nan  nan  nan  0.190962993908  0.271458662621  inf
10044  25.110000  nan  nan  nan  0.241625790271  0.056772746418  inf
10045  25.112500  nan  nan  nan  0.269512252770  0.179499336457  inf
10046  25.115000  nan  nan  nan  0.216633980608  0.120110997247  inf
10047  25.117500  nan  nan  nan  0.224309180724  -0.054321061662  inf
10048  25.120000  nan  nan  nan  0.208258963105  0.139252914186  inf
10049  25.122500  nan  nan  nan  0.189093215950  0.060977220956  inf
10050  25.125000  nan  nan  nan  0.191407345138  0.110665536876  inf
10051  25.127500  nan  nan  nan  0.234926268755  0.329253992567  inf
10052  25.130000  nan  nan  nan  0.207077867564  0.182963456890  inf
10053  25.132500  nan  nan  nan  0.206628301785  0.294826899285  inf
10054  25.135000  nan  nan  nan  0.198803017684  0.130464985037  inf
10055  25.137500  nan  nan  nan  0.192023182338  0.234805019942  inf
10056  25.140000  nan  nan  nan  0.131271506655  -0.012638309878  inf
10057  25.142500  nan  nan  nan  0.162613037311  0.089642920903  inf
10058  25.145000  nan  nan  nan  0.150150461700  0.275385489902  inf
10059  25.147500  nan  nan  nan  0.151176755360  0.191341361952  inf
10060  25.150000  nan  nan  nan  0.116675438142  -0.104278283123  inf
10061  25.152500  nan  nan  nan  0.147062010080  0.127612480280  inf
10062  25.155000  nan  nan  nan  0.169585532109  0.201399050411  inf
10063  25.157500  nan  nan  nan  0.177147809871  0.192958546654  inf
10064  25.160000  nan  nan  nan  0.183276622251  0.146154670160  inf
10065  25.162500  nan  nan  nan  0.193084641043  -0.003334130590  inf
10066  25.165000  nan  nan  nan  0.189309595484  0.091324347039  inf
10067  25.167500  nan  nan  nan  0.141023655352  0.354196508449  inf
10068  25.170000  nan  nan  nan  0.174828416445  0.121730123462  inf
